SampleID_1	SampleID_2	Mash_JS
GCA_014109125	GCA_014109065	0.9990232877630206
GCA_014109125	GCA_013923405	0.9994386710624759
GCA_014109125	GCA_013821965	0.7460060683021197
GCA_014109125	GCA_013819985	0.4795966431718691
GCA_014109125	GCA_013899665	0.4719288882522585
GCA_014109125	GCA_013895455	0.46562648537301843
GCA_014109125	GCA_013783465	0.4742875150027965
GCA_014109125	GCA_013752075	0.45938420664529256
GCA_014109125	GCA_013891895	0.45933428210131483
GCA_014109125	GCA_013796065	0.26231205648844236
GCA_014109125	GCA_013782445	0.264241859058693
GCA_014109125	GCA_013928845	0.2508107998836774
GCA_014109125	GCA_013924285	0.26431232297962376
GCA_014109125	GCA_013713325	0.5065184345893575
GCA_014109125	GCA_013712565	0.5065182747512387
GCA_014109125	GCA_013894775	0.5037532744232591
GCA_014109125	GCA_013752295	0.5010351096225635
GCA_014109125	GCA_013750375	0.508066901862791
GCA_014109125	GCA_013899205	0.48373288566698225
GCA_014109125	GCA_013898935	0.4837243052074475
GCA_014109125	GCA_014103665	0.06199816083621725
GCA_014109125	GCA_014103465	0.060017358425192645
GCA_014109125	GCA_013746655	0.06003502703205919
GCA_014109125	GCA_013745515	0.06257444973889208
GCA_014109125	GCA_013732895	0.058955634538432916
GCA_014109125	GCA_013786125	0.3258909776871013
GCA_014109125	GCA_013728735	0.3120340417009288
GCA_014109125	GCA_013897665	0.2866113267965783
GCA_014109125	GCA_013897255	0.2866372422785037
GCA_014109125	GCA_013896775	0.2866280435490946
GCA_014109125	GCA_013896515	0.2897048924874473
GCA_014109125	GCA_013886475	0.3928628576320099
GCA_014109125	GCA_013806925	0.3851603528159465
GCA_014109125	GCA_013806525	0.3851546757729303
GCA_014109125	GCA_013806085	0.3851540119433186
GCA_014109125	GCA_013835405	0.3882322926637503
GCA_014109125	GCA_013817865	0.4041138350778704
GCA_014109125	GCA_013790245	0.29889277089665683
GCA_014109125	GCA_013900245	0.2917480533973283
GCA_014109125	GCA_013836945	0.30222517702302737
GCA_014109125	GCA_013823125	0.3043924634206826
GCA_014109125	GCA_013894235	0.08424774235803256
GCA_014109125	GCA_013817505	0.08368625823949485
GCA_014109125	GCA_013898995	0.30942125095532874
GCA_014109125	GCA_013898775	0.30943702101794546
GCA_014109125	GCA_013830785	0.2924234992979849
GCA_014109125	GCA_013800125	0.30357451768538335
GCA_014109125	GCA_014103195	0.3036409274378882
GCA_014109125	GCA_013602835	0.2957679155260152
GCA_014109065	GCA_014109125	0.9990232877630206
GCA_014109065	GCA_013923405	0.9990123612090014
GCA_014109065	GCA_013821965	0.7462487354477273
GCA_014109065	GCA_013819985	0.4796982666020191
GCA_014109065	GCA_013899665	0.4720378262404116
GCA_014109065	GCA_013895455	0.46572870476326705
GCA_014109065	GCA_013783465	0.4743690275695199
GCA_014109065	GCA_013752075	0.4594966054244453
GCA_014109065	GCA_013891895	0.4594376223997922
