SampleID_1	SampleID_2	Mash_JS
C100	C364	0.398232682099479
C100	C22	0.4049794484191032
C100	C320	0.4049227671424395
C100	C235	0.4118294652414228
C100	C318	0.43401006304480894
C100	C79	0.40321372818231727
C100	C148	0.3924539279656195
C100	C265	0.4465436525834987
C100	C324	0.44654449651737044
C100	C13	0.4450929785183399
C100	C76	0.4449693144387056
C100	C80	0.9385154681906319
C100	C208	0.9383727012140727
C100	C240	0.39996540658570195
C100	C295	0.38921440900705745
C100	C52	0.44331966518442917
C100	C113	0.443282555486629
C100	C24	0.4077879988916496
C100	C195	0.9333676608754168
C100	C9	0.9537553159545101
C100	C353	0.9510579846655103
C100	C121	0.9997771345949686
C100	C255	0.3947572717570983
C100	C3	0.40724730646391616
C100	C56	0.40725155618107317
C100	C32	0.42167601418121325
C100	C188	0.3981677421759997
C100	C16	0.41356165642303233
C100	C70	0.41463929968983126
C100	C67	0.9346006157921807
C100	C294	0.9325901207764447
C100	C21	0.9559016646188253
C100	C273	0.44324389248885837
C100	C72	0.9426067932343012
C100	C351	0.9423879908896305
C100	C133	0.39479206110394516
C100	C179	0.3947454610433855
C100	C45	0.4040446835710542
C100	C149	0.4040424384835261
C100	C91	0.9400515425899777
C100	C209	0.39620999564884696
C100	C206	0.9363293693574949
C100	C276	0.45063184905692427
C100	C136	0.9401898497379233
C100	C197	0.39898388375515803
C100	C155	0.3943080221525179
C100	C339	0.3992667188859434
C100	C196	0.4082393899416296
C100	C342	0.3938153405018646
C100	C183	0.44698807164863585
C100	C312	0.418551362474624
C100	C182	0.40477278443489134
C100	C233	0.4098883221265026
C100	C224	0.3986177475263761
C100	C349	0.3985414817681437
C100	C222	0.40524025221979154
C100	C333	0.40941688183941966
C100	C245	0.41461417982527315
C100	C314	0.9298409279256942
C100	C285	0.4015404705237037
C100	C355	0.4051639228387721
C100	C241	0.3993937560067199
C100	C309	0.39929196504448633
C100	C325	0.38931692142439034
C100	C363	0.40956104818230893
C100	C311	0.446351517066607
C100	C357	0.4513075287300495
C364	C100	0.398232682099479
C364	C22	0.6454448190757925
C364	C320	0.6454291240317258
C364	C235	0.6781184441402712
C364	C318	0.4174216612644082
C364	C79	0.6452673836516508
C364	C148	0.6714109396295607
C364	C265	0.4300260491445233
C364	C324	0.43001916452379796
C364	C13	0.4199645671160543
C364	C76	0.4198846967847388
C364	C80	0.40322541236505116
C364	C208	0.40316664141123376
C364	C240	0.6601762362350138
C364	C295	0.593720472842379
C364	C52	0.4224156046620201
C364	C113	0.42238753132540224
C364	C24	0.5159210828426677
