Method,SeqType,DataSet,Annotation,PangenomeTool,Accessory genes,Core genes,Total genes,N_Gain_Ancs,N_Loss_Ancs,N_Gain_Tips,N_Loss_Tips,Method_V2,N_Events_Ancs,N_Events_Tips
Roary_NoSplitParalogs,LongRead,All,PGAP,Roary,807,3337,4144,388,1055,1076,1933,"Roary 
 (MergeParalogs)",1443,3009
Roary_NoSplitParalogs,LongRead,All,Bakta,Roary,650,3716,4366,400,616,1303,1018,"Roary 
 (MergeParalogs)",1016,2321
Roary_Default,ShortRead,All,PGAP,Roary,1845,2868,4713,2062,2302,7021,5841,"Roary 
 (Default)",4364,12862
Roary_Default,ShortRead,All,Bakta,Roary,2912,3094,6006,3651,2847,11682,7272,"Roary 
 (Default)",6498,18954
Roary_Default,LongRead,All,PGAP,Roary,1177,3305,4482,811,1383,2083,2607,"Roary 
 (Default)",2194,4690
Roary_Default,LongRead,All,Bakta,Roary,1867,3499,5366,1980,1550,5526,2974,"Roary 
 (Default)",3530,8500
Ppanggolin_I0.80C0.60,ShortRead,All,PGAP,Ppanggolin,1126,3071,4197,886,1398,2695,3348,Ppanggolin (I0.80-C0.60),2284,6043
Ppanggolin_I0.80C0.60,ShortRead,All,Bakta,Ppanggolin,1830,3297,5127,2414,1827,7711,4901,Ppanggolin (I0.80-C0.60),4241,12612
Ppanggolin_I0.80C0.60,LongRead,All,PGAP,Ppanggolin,846,3215,4061,412,1168,1139,2165,Ppanggolin (I0.80-C0.60),1580,3304
Ppanggolin_I0.80C0.60,LongRead,All,Bakta,Ppanggolin,755,3711,4466,528,664,1706,1127,Ppanggolin (I0.80-C0.60),1192,2833
Ppanggolin_I0.80C0.80,LongRead,All,PGAP,Ppanggolin,905,3208,4113,450,1184,1284,2209,Ppanggolin (I0.80-C0.80),1634,3493
Ppanggolin_I0.80C0.80,LongRead,All,Bakta,Ppanggolin,1122,3650,4772,685,751,2553,1404,Ppanggolin (I0.80-C0.80),1436,3957
Ppanggolin_I0.80C0.80,ShortRead,All,Bakta,Ppanggolin,2161,3247,5408,2738,2002,8778,5186,Ppanggolin (I0.80-C0.80),4740,13964
Ppanggolin_I0.80C0.80,ShortRead,All,PGAP,Ppanggolin,1312,3060,4372,1520,1852,4105,3903,Ppanggolin (I0.80-C0.80),3372,8008
Ppanggolin_I0.80C0.90,LongRead,All,Bakta,Ppanggolin,1716,3576,5292,1261,1074,4486,2071,Ppanggolin (I0.80-C0.90),2335,6557
Ppanggolin_I0.80C0.90,LongRead,All,PGAP,Ppanggolin,985,3195,4180,518,1217,1430,2295,Ppanggolin (I0.80-C0.90),1735,3725
Ppanggolin_I0.80C0.90,ShortRead,All,Bakta,Ppanggolin,2598,3189,5787,3174,2288,10201,5654,Ppanggolin (I0.80-C0.90),5462,15855
Ppanggolin_I0.80C0.90,ShortRead,All,PGAP,Ppanggolin,1541,3046,4587,1786,1976,5182,4214,Ppanggolin (I0.80-C0.90),3762,9396
Ppanggolin_I0.90C0.60,LongRead,All,Bakta,Ppanggolin,956,3710,4666,560,704,1994,1276,Ppanggolin (I0.90-C0.60),1264,3270
Ppanggolin_I0.90C0.60,LongRead,All,PGAP,Ppanggolin,940,3221,4161,433,1199,1118,2245,Ppanggolin (I0.90-C0.60),1632,3363
Ppanggolin_I0.90C0.60,ShortRead,All,Bakta,Ppanggolin,2084,3295,5379,2599,1925,8487,5111,Ppanggolin (I0.90-C0.60),4524,13598
Ppanggolin_I0.90C0.60,ShortRead,All,PGAP,Ppanggolin,1277,3065,4342,1088,1584,3053,3734,Ppanggolin (I0.90-C0.60),2672,6787
Ppanggolin_I0.90C0.80,LongRead,All,Bakta,Ppanggolin,1432,3640,5072,951,979,3383,1828,Ppanggolin (I0.90-C0.80),1930,5211
Ppanggolin_I0.90C0.80,LongRead,All,PGAP,Ppanggolin,998,3211,4209,479,1231,1271,2288,Ppanggolin (I0.90-C0.80),1710,3559
Ppanggolin_I0.90C0.80,ShortRead,All,Bakta,Ppanggolin,2469,3234,5703,3006,2206,9736,5426,Ppanggolin (I0.90-C0.80),5212,15162
Ppanggolin_I0.90C0.80,ShortRead,All,PGAP,Ppanggolin,1543,3054,4597,1731,1987,4811,4246,Ppanggolin (I0.90-C0.80),3718,9057
Ppanggolin_I0.90C0.90,ShortRead,All,PGAP,Ppanggolin,1725,3044,4769,1862,2028,5300,4409,Ppanggolin (I0.90-C0.90),3890,9709
Ppanggolin_I0.90C0.90,LongRead,All,PGAP,Ppanggolin,1063,3201,4264,546,1267,1423,2369,Ppanggolin (I0.90-C0.90),1813,3792
Ppanggolin_I0.90C0.90,ShortRead,All,Bakta,Ppanggolin,2874,3178,6052,3322,2396,10824,5810,Ppanggolin (I0.90-C0.90),5718,16634
Ppanggolin_I0.90C0.90,LongRead,All,Bakta,Ppanggolin,2008,3572,5580,1247,1146,4540,2271,Ppanggolin (I0.90-C0.90),2393,6811
Ppanggolin_I0.98C0.60,LongRead,All,Bakta,Ppanggolin,1818,3634,5452,935,868,3102,1668,Ppanggolin (I0.98-C0.60),1803,4770
Ppanggolin_I0.98C0.60,LongRead,All,PGAP,Ppanggolin,1372,3187,4559,510,1272,1327,2420,Ppanggolin (I0.98-C0.60),1782,3747
